fecha;apertura;promedio;cierre
27/07/2022;5.29;5.2904823;5.29
26/07/2022;5.29;5.285629987;5.2
25/07/2022;5.32;5.256884365;5.35
22/07/2022;5.5;5.412057681;5.39
21/07/2022;5.12;5.21641729;5.05
20/07/2022;5.05;5.052441269;5.05
19/07/2022;5.05;5.045342338;5
18/07/2022;5.05;4.999988488;4.95
15/07/2022;4.95;4.950454398;4.95
14/07/2022;5;4.956072779;5.04
13/07/2022;5;5.050414943;5.05
12/07/2022;5.1;5.003439974;5.1
11/07/2022;5.1;5.106813424;5.1
8/07/2022;5.11;5.102825327;5.05
7/07/2022;5.05;5.049197289;5
6/07/2022;5;4.997681374;5.05
5/07/2022;5.05;5.051904889;5.15
4/07/2022;5.1;5.13705192;5.15
1/07/2022;5.15;5.186734817;5.15
30/06/2022;5.15;5.150017166;5.2
28/06/2022;5.2;5.2;5.2
27/06/2022;5.2;5.186129256;5.2
24/06/2022;5.15;5.140634347;5.15
23/06/2022;5.2;5.199482246;5.25
22/06/2022;5.35;5.254385639;5.37
21/06/2022;5.4;5.356135731;5.4
20/06/2022;5.4;5.4;5.35
17/06/2022;5.4;5.391602567;5.4
16/06/2022;;5.372486569;5.4
15/06/2022;5.45;5.409206911;5.45
14/06/2022;5.4;5.397071432;5.45
13/06/2022;5.5;5.492737901;5.46
10/06/2022;5.45;5.462768638;5.41
9/06/2022;5.4;5.412437743;5.45
8/06/2022;5.15;5.252594876;5.15
7/06/2022;5.08;5.129565217;5.12
6/06/2022;5.17;5.100403411;5.15
3/06/2022;5.13;5.149072583;5.13
2/06/2022;5.15;5.100407978;5.1
1/06/2022;5.1;5.092717024;5.05
31/05/2022;5;5.006780451;5.1
30/05/2022;5.06;5.084106716;5.01
27/05/2022;4.95;4.980939602;4.93
26/05/2022;4.93;4.951565562;4.9
25/05/2022;4.94;4.912710438;4.92
24/05/2022;4.85;4.883322938;4.85
23/05/2022;4.95;4.924790748;4.95
20/05/2022;4.95;4.950040404;4.95
19/05/2022;4.85;4.94632223;4.85
18/05/2022;4.91;4.947496013;4.85
17/05/2022;4.96;4.854211128;4.96
16/05/2022;4.95;4.957479591;4.9
13/05/2022;4.9;4.903450928;4.81
12/05/2022;4.95;4.906205128;4.9
11/05/2022;4.9;4.9;4.9
10/05/2022;4.8;4.842386405;4.8
9/05/2022;4.86;4.803029007;4.95
6/05/2022;4.9;4.873440226;4.95
5/05/2022;5.1;4.910081857;5.1
4/05/2022;4.8;5.094420623;5
3/05/2022;5.2;5.088868726;5.08
2/05/2022;5.05;4.994258227;5.12
29/04/2022;5.12;5.138773618;5.1
28/04/2022;5.15;5.00158971;5.2
27/04/2022;5.2;5.223208337;5.02
26/04/2022;5;5.008125904;4.97
25/04/2022;5.2;5.097403677;5.25
22/04/2022;5.6;5.466521677;5.6
21/04/2022;5.35;5.408745102;5.35
20/04/2022;5.1;5.111626141;5.08
19/04/2022;5.12;5.027233028;5.01
18/04/2022;5.01;5.008821522;5.01
13/04/2022;5.42;5.33112542;5.42
12/04/2022;5.65;5.581706328;5.63
11/04/2022;5.6;5.64448018;5.6
8/04/2022;5.7;5.650286552;5.7
7/04/2022;5.74;5.719279884;5.7
6/04/2022;5.77;5.748973501;5.76
5/04/2022;5.77;5.765215286;5.77
4/04/2022;5.7;5.724164215;5.69
1/04/2022;5.63;5.656252112;5.55
31/03/2022;5.63;5.587315397;5.63
30/03/2022;5.7;5.690044567;5.7
29/03/2022;5.75;5.714330253;5.75
28/03/2022;5.76;5.751279249;5.7
25/03/2022;5.78;5.773625112;5.78
24/03/2022;5.78;5.761385614;5.78
23/03/2022;5.78;5.78;5.78
22/03/2022;5.81;5.791685382;5.81
21/03/2022;5.82;5.821623802;5.82
18/03/2022;5.79;5.801141708;5.79
17/03/2022;5.83;5.823470359;5.83
16/03/2022;5.67;5.703107463;5.67
15/03/2022;5.69;5.679439456;5.69
14/03/2022;5.75;5.748708775;5.79
11/03/2022;5.79;5.790125454;5.75
10/03/2022;5.85;5.836902291;5.85
9/03/2022;5.85;5.856640912;5.86
8/03/2022;5.9;5.897829877;5.9
7/03/2022;6.05;5.930125496;6.15
4/03/2022;6.2;6.177898116;6.2
3/03/2022;6.2;6.196042702;6.2
2/03/2022;6.2;6.200356467;6.22
1/03/2022;6.22;6.224036491;6.12
28/02/2022;6.3;6.127933486;6.35
25/02/2022;6.3;6.300125168;6.29
24/02/2022;6.19;6.169323006;6.25
23/02/2022;6.23;6.244341216;6.23
22/02/2022;6.29;6.236858256;6.23
21/02/2022;6.2;6.203970605;6.3
18/02/2022;6.2;6.216614512;6.2
17/02/2022;6.28;6.272705892;6.28
16/02/2022;6.5;6.355026631;6.55
15/02/2022;6.55;6.583428551;6.55
14/02/2022;6.63;6.574114387;6.64
11/02/2022;6.67;6.656820298;6.67
10/02/2022;6.7;6.670432093;6.7
9/02/2022;6.75;6.727681466;6.75
8/02/2022;6.57;6.657089554;6.57
7/02/2022;6.65;6.60133193;6.64
4/02/2022;6.64;6.639429477;6.65
3/02/2022;6.65;6.650246313;6.65
2/02/2022;6.9;6.682688424;6.9
1/02/2022;6.8;6.868070592;6.87
31/01/2022;6.82;6.886184355;6.8
28/01/2022;6.85;6.843057533;6.85
27/01/2022;6.76;6.845455351;6.76
26/01/2022;6.75;6.779635748;6.75
25/01/2022;6.8;6.733423545;6.8
24/01/2022;6.84;6.801982897;6.83
21/01/2022;6.9;6.885587552;6.9
20/01/2022;6.9;6.890912167;6.9
19/01/2022;6.84;6.848826025;6.84
18/01/2022;6.95;6.871369192;6.95
17/01/2022;6.95;6.95;6.95
14/01/2022;6.95;6.973715724;6.99
13/01/2022;6.8;6.945962807;6.8
12/01/2022;6.65;6.788190498;6.58
11/01/2022;6.55;6.549272949;6.51
10/01/2022;6.63;6.619725047;6.63
7/01/2022;6.45;6.461059184;6.45
6/01/2022;6.45;6.449491516;6.35
5/01/2022;6.22;6.239308416;6.2
4/01/2022;6.1;6.127901688;6.05
3/01/2022;6.05;6.05;6.05
31/12/2021;;6.05;6.05
30/12/2021;6;5.962940069;6
29/12/2021;6.12;6.055697338;6.12
28/12/2021;6.12;6.120042777;6.06
27/12/2021;5.8;5.990717601;5.75
24/12/2021;;;5.75
23/12/2021;5.7;5.698664533;5.65
22/12/2021;5.7;5.650012732;5.7
21/12/2021;5.7;5.699491249;5.63
20/12/2021;5.55;5.608279619;5.55
17/12/2021;5.61;5.556893454;5.6
16/12/2021;5.53;5.642972626;5.48
15/12/2021;5.6;5.484440839;5.6
14/12/2021;5.6;5.599638301;5.6
13/12/2021;5.68;5.677595262;5.65
10/12/2021;5.7;5.682733316;5.7
9/12/2021;5.57;5.684083254;5.57
7/12/2021;5.62;5.622837473;5.55
6/12/2021;5.6;5.474165553;5.6
3/12/2021;5.85;5.74287135;5.85
2/12/2021;5.86;5.860035133;5.86
1/12/2021;6.02;5.940129424;6.02
30/11/2021;6.15;6.089960327;6.15
29/11/2021;6.1;6.098899583;6.1
26/11/2021;6.15;6.133233422;6.17
25/11/2021;6.2;6.194231743;6.2
24/11/2021;6.22;6.219705993;6.22
23/11/2021;6.25;6.249760006;6.25
22/11/2021;6.21;6.133620048;6.3
19/11/2021;6.3;6.291581963;6.3
18/11/2021;6.35;6.348407311;6.35
17/11/2021;6.35;6.353453054;6.37
16/11/2021;6.4;6.398533141;6.4
15/11/2021;6.42;6.369946809;6.42
12/11/2021;6.41;6.406630983;6.41
11/11/2021;6.4;6.409913785;6.41
10/11/2021;6.44;6.410279808;6.44
9/11/2021;6.4;6.439348652;6.4
8/11/2021;6.4;6.39989464;6.39
5/11/2021;6.23;6.347320866;6.18
4/11/2021;6;6.113148767;6.15
3/11/2021;6.2;6.150465925;6.3
2/11/2021;6.4;6.324835857;6.45
29/10/2021;6.4;6.408596463;6.4
28/10/2021;6.35;6.373545744;6.4
27/10/2021;6.25;6.319075945;6.21
26/10/2021;6.37;6.311348559;6.38
25/10/2021;6.35;6.365883644;6.35
22/10/2021;6.4;6.282465567;6.23
21/10/2021;6.35;6.277287162;6.4
20/10/2021;6.4;6.409708224;6.4
19/10/2021;6.35;6.357751536;6.31
18/10/2021;6.27;6.26784112;6.25
15/10/2021;6.15;6.206701559;6.15
14/10/2021;5.95;6.135131807;5.9
13/10/2021;5.65;5.7871584;5.61
12/10/2021;5.5;5.579179333;5.45
11/10/2021;5.48;5.483403858;5.43
7/10/2021;5.31;5.4120793;5.2
6/10/2021;5.22;5.2070434;5.21
5/10/2021;5.15;5.197429986;5.11
4/10/2021;5.17;5.102839785;5.17
1/10/2021;5.25;5.219415092;5.2
30/09/2021;5.25;5.218177338;5.25
29/09/2021;5.2;5.255186367;5.2
28/09/2021;5.25;5.238727415;5.27
27/09/2021;5.23;5.25449176;5.2
24/09/2021;5.15;5.211670911;5.1
23/09/2021;5.02;5.073738818;5.02
22/09/2021;4.9;4.967266939;4.9
21/09/2021;4.8;4.847503969;4.75
20/09/2021;4.8;4.788904885;4.75
17/09/2021;4.8;4.789973563;4.8
16/09/2021;4.8;4.8;4.8
15/09/2021;4.8;4.79836967;4.8
14/09/2021;4.8;4.799006186;4.8
13/09/2021;4.95;4.986074537;4.85
10/09/2021;4.85;4.873939612;4.77
9/09/2021;4.81;4.766046673;4.9
8/09/2021;4.95;4.932334786;5.05
7/09/2021;5.2;5.162145926;5.21
6/09/2021;5.2;5.225358482;5.2
3/09/2021;5.14;5.183725536;5.07
2/09/2021;4.95;4.988316895;4.95
1/09/2021;4.88;4.960997924;4.79
31/08/2021;4.75;4.794342341;4.72
27/08/2021;4.6;4.625179675;4.5
26/08/2021;4.55;4.50018934;4.55
25/08/2021;4.64;4.538926579;4.65
24/08/2021;4.23;4.608316875;4.17
23/08/2021;4.55;4.743739297;4.55
20/08/2021;4.75;4.743211371;4.75
19/08/2021;4.8;4.69169789;4.8
18/08/2021;4.85;4.80047909;4.85
17/08/2021;4.98;4.920223786;4.98
16/08/2021;5.01;4.990951417;5.05
13/08/2021;5.06;5.049734811;5.06
12/08/2021;4.95;5.030807599;4.8
11/08/2021;5.28;4.943931877;5.25
10/08/2021;5.3;5.251385256;5.3
9/08/2021;5.37;5.3368313;5.36
6/08/2021;5.5;5.368341531;5.37
5/08/2021;5.4;5.372765416;5.35
4/08/2021;5.41;5.416393096;5.37
3/08/2021;5.45;5.462004891;5.5
2/08/2021;5.65;5.719678283;5.55
30/07/2021;6;5.523394764;6.15
27/07/2021;6.15;6.150029664;6.15
26/07/2021;6.16;6.15022698;6.16
23/07/2021;6.15;6.150136733;6.1
22/07/2021;6.11;6.111842118;6
21/07/2021;6.02;6.005343279;5.95
20/07/2021;5.94;5.950895958;5.94
19/07/2021;5.96;5.949701244;5.95
16/07/2021;5.9;5.935923909;5.9
15/07/2021;5.9;5.900325915;5.9
14/07/2021;5.95;5.947498093;5.95
13/07/2021;5.95;5.950213086;5.95
12/07/2021;5.95;5.95;5.95
9/07/2021;5.95;5.941042161;5.95
8/07/2021;6;5.985564913;6
7/07/2021;6;6;6
6/07/2021;6;6.000366327;6
5/07/2021;6;6;6
2/07/2021;6;5.994364865;6
1/07/2021;6.3;6.06649111;6.3
30/06/2021;6.35;6.34795576;6.3
28/06/2021;6.2;6.250825575;6.1
25/06/2021;6.1;6.1;6.1
24/06/2021;6.1;6.101312434;6
23/06/2021;6.16;6.041199124;6.16
22/06/2021;6.2;6.16240201;6.16
21/06/2021;6.06;6.06573613;6.05
18/06/2021;6;6.051281512;6
