date,ipc
01-1991,7.39
02-1991,8.09
03-1991,8.71
04-1991,9.22
05-1991,9.93
06-1991,10.84
07-1991,11.83
08-1991,12.68
09-1991,13.39
10-1991,13.92
11-1991,14.47
12-1991,15.01
01-1992,15.54
02-1992,16.28
03-1992,17.49
04-1992,18.04
05-1992,18.66
06-1992,19.33
07-1992,20.01
08-1992,20.57
09-1992,21.11
10-1992,21.88
11-1992,22.65
12-1992,23.53
01-1993,24.67
02-1993,25.39
03-1993,26.46
04-1993,27.64
05-1993,28.47
06-1993,28.99
07-1993,29.79
08-1993,30.54
09-1993,31.04
10-1993,31.5
11-1993,32.01
12-1993,32.81
01-1994,33.42
02-1994,34.02
03-1994,34.82
04-1994,35.35
05-1994,35.61
06-1994,36.01
07-1994,36.33
08-1994,36.89
09-1994,37.08
10-1994,37.19
11-1994,37.64
12-1994,37.86
01-1995,38
02-1995,38.43
03-1995,38.96
04-1995,39.34
05-1995,39.67
06-1995,39.99
07-1995,40.22
08-1995,40.64
09-1995,40.8
10-1995,41.01
11-1995,41.52
12-1995,41.73
01-1996,42.25
02-1996,42.9
03-1996,43.49
04-1996,43.87
05-1996,44.19
06-1996,44.4
07-1996,45.01
08-1996,45.42
09-1996,45.57
10-1996,45.9
11-1996,46.12
12-1996,46.67
01-1997,46.9
02-1997,46.94
03-1997,47.54
04-1997,47.72
05-1997,48.08
06-1997,48.61
07-1997,49.01
08-1997,49.12
09-1997,49.26
10-1997,49.34
11-1997,49.38
12-1997,49.69
01-1998,50.14
02-1998,50.76
03-1998,51.43
04-1998,51.74
05-1998,52.05
06-1998,52.33
07-1998,52.66
08-1998,52.8
09-1998,52.51
10-1998,52.34
11-1998,52.35
12-1998,52.68
01-1999,52.68
02-1999,52.85
03-1999,53.17
04-1999,53.49
05-1999,53.74
06-1999,53.84
07-1999,53.98
08-1999,54.07
09-1999,54.32
10-1999,54.25
11-1999,54.4
12-1999,54.64
01-2000,54.68
02-2000,54.94
03-2000,55.24
04-2000,55.52
05-2000,55.53
06-2000,55.56
07-2000,55.85
08-2000,56.11
09-2000,56.43
10-2000,56.56
11-2000,56.59
12-2000,56.68
01-2001,56.79
02-2001,56.93
03-2001,57.21
04-2001,56.98
05-2001,56.99
06-2001,56.96
07-2001,57.06
08-2001,56.88
09-2001,56.92
10-2001,56.94
11-2001,56.66
12-2001,56.61
01-2002,56.31
02-2002,56.29
03-2002,56.59
04-2002,57.01
05-2002,57.09
06-2002,56.96
07-2002,56.98
08-2002,57.03
09-2002,57.3
10-2002,57.71
11-2002,57.48
12-2002,57.47
01-2003,57.6
02-2003,57.87
03-2003,58.52
04-2003,58.49
05-2003,58.47
06-2003,58.19
07-2003,58.1
08-2003,58.11
09-2003,58.44
10-2003,58.46
11-2003,58.56
12-2003,58.89
01-2004,59.21
02-2004,59.85
03-2004,60.13
04-2004,60.11
05-2004,60.33
06-2004,60.67
07-2004,60.78
08-2004,60.78
09-2004,60.79
10-2004,60.77
11-2004,60.95
12-2004,60.94
01-2005,61
02-2005,60.86
03-2005,61.26
04-2005,61.33
05-2005,61.41
06-2005,61.57
07-2005,61.63
08-2005,61.52
09-2005,61.46
10-2005,61.55
11-2005,61.6
12-2005,61.85
01-2006,62.16
02-2006,62.5
03-2006,62.79
04-2006,63.11
05-2006,62.78
